Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
198,K5030,00AA,City of London,LONDON,7,1,2,0,0,0,0,3,0.5,0,0,0,3,2,0,0,0,1,3,0.4,0
217,A5270,00AJ,Ealing,LONDON,124,21,25,9,1,3,4,63,0.5,14,24,53,154,22,121,0,911,18,"1,072",8.6,71
219,E5330,00AL,Greenwich,LONDON,97,27,15,1,1,2,0,46,0.5,10,40,8,104,17,2,38,78,39,174,1.8,18
222,R5510,00AS,Hillingdon,LONDON,102,16,16,10,1,3,3,49,0.5,19,4,37,109,35,0,29,825,53,942,9.2,21
235,Y0435,00MG,Milton Keynes UA,SOUTH EAST,96,37,3,1,1,0,5,47,0.5,3,1,19,70,33,29,80,0,1,143,1.5,0
243,J0405,11UB,Aylesbury Vale,SOUTH EAST,69,25,2,3,1,0,3,34,0.5,4,11,9,58,0,0,12,0,0,12,0.2,0
249,P1425,21UF,Lewes,SOUTH EAST,42,17,2,0,1,0,0,20,0.5,1,0,5,26,11,3,22,2,24,62,1.5,0
251,C1435,21UH,Wealden,SOUTH EAST,61,26,1,1,1,0,0,29,0.5,2,5,2,38,9,6,18,14,1,48,0.8,49
253,M1710,24UC,East Hampshire,SOUTH EAST,45,23,0,0,0,0,0,23,0.5,2,0,7,32,2,0,83,0,0,85,1.9,8
276,G3110,38UC,Oxford,SOUTH EAST,54,15,4,0,2,0,6,27,0.5,21,9,56,113,1,0,5,148,2,156,2.9,5
305,N1160,00HG,Plymouth UA,SOUTH WEST,110,44,1,2,2,3,0,52,0.5,11,18,25,106,3,0,13,29,19,64,0.6,42
321,N1215,19UE,North Dorset,SOUTH WEST,27,13,0,0,0,0,0,13,0.5,1,4,5,23,0,0,0,0,0,0,0,13
336,10,64,ENGLAND,ENGLAND,"21,731","7,550","1,660",770,350,490,540,"11,350",0.5,"1,840","5,430","7,770","26,400","2,750","4,250","7,490","26,960","6,790","48,240",2.2,"4,770"
1,1,A,NORTH EAST,NORTH EAST,"1,112",420,20,10,10,10,0,470,0.4,60,410,340,"1,280",60,20,130,10,0,220,0.2,320
10,M4510,00CJ,Newcastle upon Tyne,NORTH EAST,119,28,6,7,1,2,0,44,0.4,3,160,130,337,0,3,30,0,0,33,0.3,32
20,M0655,00EU,Warrington UA,NORTH WEST,82,27,0,2,1,1,0,31,0.4,3,0,1,35,0,0,4,0,9,13,0.2,5
26,X0930,16UG,South Lakeland,NORTH WEST,46,17,0,0,0,0,0,17,0.4,0,10,25,52,7,15,4,0,0,26,0.6,0
35,Q4245,00BU,Trafford,NORTH WEST,93,27,2,2,1,1,0,33,0.4,14,3,23,73,0,5,45,0,0,50,0.5,9
36,V4250,00BW,Wigan,NORTH WEST,130,40,1,1,0,0,15,57,0.4,6,42,16,121,0,1,14,0,0,15,0.1,34
47,P2365,30UP,West Lancashire,NORTH WEST,46,16,1,0,0,0,0,17,0.4,5,7,7,36,0,0,3,0,0,3,0.1,7
58,Y2003,00FD,North Lincolnshire UA,YORKSHIRE AND THE HUMBER,68,21,1,2,1,0,1,26,0.4,0,0,3,29,5,6,3,0,0,14,0.2,17
64,Y2736,36UF,Ryedale,YORKSHIRE AND THE HUMBER,23,7,0,0,0,1,0,8,0.4,0,4,3,15,3,7,0,0,11,21,0.9,2
66,N2739,36UH,Selby,YORKSHIRE AND THE HUMBER,33,12,0,0,0,0,0,12,0.4,2,2,1,17,1,0,6,0,0,7,0.2,1
74,N4720,00DA,Leeds,YORKSHIRE AND THE HUMBER,334,105,15,8,3,4,14,149,0.4,14,360,833,"1,356",0,98,0,19,0,117,0.4,171
80,A2470,00FP,Rutland UA,EAST MIDLANDS,15,6,0,0,0,0,0,6,0.4,1,2,6,15,1,0,3,0,0,4,0.3,5
88,F1040,17UK,South Derbyshire,EAST MIDLANDS,37,16,0,0,0,0,0,16,0.4,6,9,9,40,3,0,1,0,1,5,0.1,11
90,X2410,31UC,Charnwood,EAST MIDLANDS,65,28,0,1,0,0,0,29,0.4,1,0,7,37,1,5,16,7,0,29,0.4,8
94,G2435,31UH,North West Leicestershire,EAST MIDLANDS,38,15,0,0,0,0,0,15,0.4,0,6,9,30,1,0,0,0,0,1,0,0
106,L2820,34UE,Kettering,EAST MIDLANDS,38,13,1,1,0,0,0,15,0.4,1,2,12,30,11,0,2,13,0,26,0.7,1
108,Z2830,34UG,South Northamptonshire,EAST MIDLANDS,36,12,0,2,0,0,0,14,0.4,0,1,0,15,0,0,31,0,0,31,0.9,2
115,B3030,37UG,Newark and Sherwood,EAST MIDLANDS,48,19,0,0,0,0,0,19,0.4,0,3,0,22,0,5,0,0,0,5,0.1,5
123,B3410,41UC,East Staffordshire,WEST MIDLANDS,45,18,0,1,0,1,0,20,0.4,4,11,12,47,0,2,2,0,0,4,0.1,0
126,C3430,41UF,South Staffordshire,WEST MIDLANDS,43,--,--,--,--,--,--,17,0.4,2,2,3,24,1,0,8,0,0,9,0.2,--
130,R3705,44UB,North Warwickshire,WEST MIDLANDS,26,10,0,0,0,0,0,10,0.4,4,12,4,30,0,2,0,0,0,2,0.1,0
134,T3725,44UF,Warwick,WEST MIDLANDS,60,20,1,1,0,0,0,22,0.4,5,40,71,138,0,3,8,3,0,14,0.2,18
149,K0235,00KB,Bedford UA,EAST of ENGLAND,65,20,2,5,0,1,1,29,0.4,6,3,18,56,0,0,28,0,1,29,0.4,12
150,P0240,00KC,Central Bedfordshire UA,EAST of ENGLAND,104,38,0,1,1,2,0,42,0.4,2,2,11,57,1,19,16,0,0,36,0.3,8
154,M1595,00KG,Thurrock UA,EAST of ENGLAND,64,22,2,0,0,0,0,24,0.4,5,2,16,47,1,28,13,0,0,42,0.7,16
169,B1550,22UL,Rochford,EAST of ENGLAND,34,14,0,0,0,0,0,14,0.4,2,0,2,18,19,0,24,0,1,44,1.3,0
176,X1925,26UF,North Hertfordshire,EAST of ENGLAND,53,19,1,0,1,0,0,21,0.4,4,1,4,30,1,56,0,0,1,58,1.1,0
181,C1950,26UL,Welwyn Hatfield,EAST of ENGLAND,45,18,1,0,0,0,0,19,0.4,3,22,16,60,0,24,46,0,0,70,1.6,4
182,F2605,33UB,Breckland,EAST of ENGLAND,55,18,1,0,0,1,1,21,0.4,9,1,3,34,2,0,9,0,2,13,0.2,48
192,W3520,42UE,Mid Suffolk,EAST of ENGLAND,39,17,0,0,0,0,0,17,0.4,0,1,8,26,0,2,0,0,0,2,0.1,0
195,T3535,42UH,Waveney,EAST of ENGLAND,52,19,0,0,0,0,0,19,0.4,4,0,0,23,0,0,1,1,20,22,0.4,5
197,X5210,00AG,Camden,LONDON,103,16,12,9,1,1,0,39,0.4,13,5,6,63,16,88,54,217,287,662,6.4,74
212,N5090,00AC,Barnet,LONDON,137,21,14,5,1,9,0,50,0.4,5,12,45,112,0,5,1046,884,204,"2,139",15.6,54
218,Q5300,00AK,Enfield,LONDON,117,18,22,0,1,1,0,42,0.4,16,34,25,117,3,0,82,1821,198,"2,104",18,0
228,P5870,00BF,Sutton,LONDON,82,22,5,1,3,4,1,36,0.4,11,5,28,80,29,10,86,95,31,251,3.1,0
238,J0350,00MD,Slough UA,SOUTH EAST,48,14,0,4,1,0,0,19,0.4,19,17,35,90,0,0,41,43,0,84,1.8,0
260,P1750,24UL,Rushmoor,SOUTH EAST,36,12,0,0,1,0,0,13,0.4,2,0,3,18,1,6,8,0,1,16,0.4,0
266,X2220,29UE,Dover,SOUTH EAST,46,17,0,0,0,0,0,17,0.4,2,2,9,30,22,7,9,3,0,41,0.9,0
267,K2230,29UG,Gravesham,SOUTH EAST,40,6,0,0,0,0,10,16,0.4,0,2,4,22,0,0,22,0,0,22,0.6,0
271,V2255,29UM,Swale,SOUTH EAST,53,18,0,0,1,0,0,19,0.4,5,0,10,34,12,14,12,17,10,65,1.2,6
287,D3640,43UJ,Surrey Heath,SOUTH EAST,33,10,1,1,0,0,1,13,0.4,1,1,2,17,4,32,12,0,2,50,1.5,2
292,C3810,45UC,Arun,SOUTH EAST,68,26,0,0,0,0,0,26,0.4,13,4,18,61,7,32,10,0,8,57,0.8,7
312,Y1110,18UC,Exeter,SOUTH WEST,51,20,1,0,1,0,0,22,0.4,8,6,8,44,32,7,28,83,0,150,2.9,0
326,F1610,23UC,Cotswold,SOUTH WEST,36,13,0,0,1,0,0,14,0.4,0,18,18,50,1,2,7,0,0,10,0.3,3
330,G1630,23UG,Tewkesbury,SOUTH WEST,35,14,0,0,0,0,0,14,0.4,0,0,1,15,3,2,0,0,6,11,0.3,5
335,H3320,40UF,West Somerset,SOUTH WEST,16,6,0,0,0,0,0,6,0.4,5,23,11,45,0,0,0,6,0,6,0.4,0
6,P2935,00EM,Northumberland UA,NORTH EAST,136,43,0,1,1,0,0,45,0.3,6,21,31,103,0,8,5,0,0,13,0.1,1
8,H0738,00EF,Stockton-on-Tees UA,NORTH EAST,79,21,1,2,1,2,0,27,0.3,2,57,21,107,11,0,16,0,0,27,0.3,21
14,9,B,NORTH WEST,NORTH WEST,"2,935",730,70,40,20,30,50,940,0.3,190,860,770,"2,760",80,290,390,10,150,920,0.3,350
16,J2373,00EY,Blackpool UA,NORTH WEST,63,19,0,0,0,0,0,19,0.3,5,288,4,316,0,23,0,0,0,23,0.4,5
